price,pyung,firm,age,educ,subway,hhs,recon
9.4,23,5.1,26,8,19,743,0
6.9,19,3.7,37,10,17,1101,0
16,58,4.7,10,16,16,165,0
10.5,29,1.2,1,8,13,200,0
10.3,15,0.8,7,9,17,206,0
9.1,24,0.2,30,12,7,171,0
7.4,21,1.4,18,15,19,359,0
7.2,20,2.3,39,13,18,135,3
1.8,28,1.6,29,13,1,189,3
10.1,25,1.5,25,5,14,941,0
5.9,11,0.4,6,6,20,450,0
6.9,13,0.4,28,13,18,793,0
10.9,11,0.6,25,16,7,232,4
4.9,21,1.2,31,18,16,534,0
8.5,37,0.6,4,17,17,183,0
5.2,11,0.9,31,9,13,227,0
1.5,11,2.4,34,11,14,124,0
2.8,11,1.9,1,7,19,196,0
7.3,21,1.5,12,5,19,268,0
3.1,16,2.6,32,7,15,1523,0
6,10,0.9,39,10,17,452,6
10.9,16,1.1,19,8,14,146,0
13.5,43,2.1,15,17,17,181,0
13.8,27,0.3,9,16,14,238,0
7.3,38,0.7,32,17,18,670,0
0.4,21,1.4,26,9,12,573,0
8.8,25,3.1,24,10,17,600,0
6.8,17,0.5,33,12,18,160,0
10,24,0.6,36,16,16,510,0
3,18,0.8,27,8,22,154,9
13.1,31,2.7,16,8,16,495,0
6.7,26,1.4,28,8,16,349,0
9.4,40,1.2,36,7,18,325,0
9.2,18,1.1,13,12,14,181,0
4.3,17,3,37,11,17,116,0
9.3,38,1.2,7,9,18,326,0
8.1,18,0.7,27,10,19,554,0
12.9,25,0.7,33,10,22,240,6
5.5,18,1,12,15,18,619,0
11.2,41,2.3,28,16,21,172,0
6.6,10,1.1,7,13,19,335,0
12.6,25,3.1,1,17,23,224,0
10.9,50,1.2,36,8,16,194,0
12,31,0.8,10,7,11,206,0
10.1,14,2,29,7,9,1092,6
4.4,28,1.6,9,10,16,348,0
4.6,13,0.4,6,11,11,222,0
2.5,13,0.8,7,10,20,305,0
8.4,33,2.3,30,17,24,563,0
13.8,32,0.8,0,18,11,621,0
7.6,26,0.2,11,10,18,344,0
11.7,23,0.6,29,9,19,452,0
7.7,29,2.2,28,18,14,338,0
7.8,28,1.7,11,14,20,193,0
6.5,10,1,15,4,19,288,0
9.1,25,1.7,36,14,11,203,0
4.6,8,1.1,26,17,13,142,0
6.3,23,1.3,10,7,10,167,0
9.6,47,1.5,2,7,18,152,0
8.3,25,1.3,10,10,16,180,0
6.7,32,0.6,7,6,7,999,0
3.2,5,0.5,28,11,17,485,0
10.7,27,2.2,0,8,12,949,0
31.4,65,0.7,31,19,11,4324,8
5.7,31,2.1,8,11,20,189,0
8.9,19,0.6,23,6,20,132,0
8.8,35,0.8,11,9,16,247,0
7.4,21,0.5,9,9,17,314,0
5.7,16,1.7,1,10,19,296,0
11.9,25,0.6,3,17,22,461,0
5.5,13,1.3,20,15,14,311,0
15.9,54,3.5,25,19,14,735,0
6.7,18,0.6,29,16,12,116,0
8.2,21,0.7,26,7,14,160,0
10.5,46,1.3,7,5,14,229,0
15.3,21,0.7,35,13,14,737,0
7.4,22,0.7,33,9,19,117,0
10.2,37,1.3,12,5,12,519,0
13.5,31,0.4,37,12,14,235,0
5,18,0.5,13,7,18,900,0
8.6,37,1.2,9,6,16,1140,0
12.6,31,1.7,3,14,12,230,0
8.2,31,0.2,13,8,13,383,0
6.3,19,1.1,36,9,17,107,0
5.9,20,0.6,7,6,15,175,0
17.5,52,0.6,16,6,14,553,0
14.7,22,0.3,3,14,16,1330,0
6.6,10,1.5,33,12,12,510,0
9.4,11,1,5,8,24,750,0
8.5,28,1.2,30,11,11,650,0
9.8,25,0.7,10,15,22,144,0
6,12,0.7,10,15,11,466,0
17.6,16,0.6,30,15,18,1474,0
12,59,2.1,25,8,16,177,0
5.4,24,1.4,28,10,19,231,0
12.3,22,0.5,7,11,6,639,0
4.8,22,1.1,8,6,14,134,0
15.1,32,0.8,19,8,12,854,0
13.1,32,0.6,29,8,11,290,0
2.6,17,0.5,9,12,12,255,0
0.6,10,0.7,33,11,14,218,0
6.6,19,0.8,3,13,14,377,0
14.2,33,1.5,33,6,11,1154,0
5.6,26,1.7,33,4,18,614,0
5.9,9,1.3,23,7,17,209,0
10.9,14,1.2,8,13,15,688,0
8.4,9,0.8,36,11,23,609,0
15.2,66,0.8,24,16,11,259,0
6.3,11,0.7,12,11,13,533,0
9.8,26,0.5,27,16,6,223,0
10.8,29,0.4,22,16,14,1047,0
2.7,14,0.5,28,17,7,370,0
7,15,0.8,22,15,16,369,0
7.2,7,1.4,27,10,18,614,0
3.8,21,1,31,15,18,208,0
2.8,15,3.2,35,6,19,563,0
6,32,0.4,30,10,15,662,0
15.4,32,1.1,29,8,11,968,0
4.6,11,1.2,35,7,19,652,0
8.4,19,1.8,7,12,18,419,0
11.8,18,0.4,9,16,15,219,0
2.3,17,0.6,9,16,4,1160,0
11.3,21,0.7,18,8,14,298,0
10.2,31,0.4,38,7,13,541,4
10.2,30,1.3,4,12,13,200,0
8.6,24,0.6,13,16,12,335,0
9,18,0.3,18,18,22,358,0
10.9,27,3.8,34,7,19,451,7
11.6,24,3.1,17,12,11,520,0
5.7,12,0.5,27,9,19,536,4
10.1,13,0.5,24,4,15,1010,0
13.6,31,0.6,21,11,12,203,0
15.3,26,4.4,17,13,18,173,0
8.5,27,0.9,23,5,14,322,0
5.5,13,1.3,15,7,17,311,0
3.3,15,0.2,6,7,15,221,0
11.4,39,1.2,5,16,8,729,0
11.4,19,0.6,21,5,21,2857,0
7,23,0.5,10,8,17,344,0
16.2,65,0.2,33,18,17,782,0
9.2,16,1,15,18,11,302,0
11.8,31,0.4,23,14,14,222,0
14.7,40,1.1,13,14,17,221,0
11.5,18,2.7,6,12,19,332,0
8,19,0.5,1,9,14,576,0
17.2,46,1.6,24,12,13,2201,0
4.1,26,1.6,40,6,13,342,7
9.7,38,1.8,35,8,16,138,0
13.3,29,0.6,26,11,14,321,10
14.4,15,1.6,34,8,12,2194,0
8.2,32,2.3,1,14,13,271,0
11.1,40,4.2,5,15,10,262,0
4.4,18,0.7,9,7,9,178,0
1.4,22,0.8,6,8,18,140,0
19.6,89,1,11,17,19,192,0
11.1,33,0.4,32,9,21,615,2
1.5,13,0.7,37,6,15,521,0
9.3,21,0.5,7,12,16,274,0
7.3,22,1,23,17,24,451,0
9.2,25,0.7,1,8,13,288,0
6.7,22,0.9,19,8,13,221,0
6.7,13,0.7,33,7,11,277,0
17.3,16,0.3,26,6,19,2621,0
11,14,0.5,21,8,24,1599,0
6.5,16,2.8,17,13,18,451,0
11.2,34,0.7,37,14,17,162,0
0.4,7,3,29,9,6,137,0
7.2,28,0.6,8,8,17,229,0
12.1,21,1.5,35,16,16,1578,0
2.3,13,1.4,24,15,21,148,0
7.7,20,0.8,17,10,11,142,0
10.4,25,0.5,31,12,8,326,0
14.1,21,1.8,11,7,19,443,0
4.6,14,2.2,23,10,14,147,0
11.7,32,0.8,27,8,12,585,0
8.7,10,1.7,26,13,17,125,0
11.7,18,0.5,14,17,15,299,0
2.4,44,1.2,24,5,12,176,0
10.8,25,0.7,8,10,11,419,0
3.6,10,0.9,8,11,13,296,0
11.2,12,0.5,30,6,15,1510,0
10.4,35,0.9,33,9,12,778,0
3,7,0.9,26,6,6,239,7
7.1,14,1.2,39,6,21,136,10
12.7,42,0.4,7,15,14,301,0
4,24,4.1,1,11,11,331,0
13.6,47,3.3,33,18,19,243,0
5.8,28,2.3,34,11,18,119,0
6.7,14,1,24,8,15,419,0
11.8,21,3,33,8,17,825,3
6.5,30,0.7,27,8,17,589,0
16,35,0.5,26,13,23,665,0
5.2,30,0.6,18,7,9,149,0
3,8,0.3,17,7,16,231,0
12.3,53,0.4,25,10,16,251,0
5.6,24,1.4,30,8,21,605,7
11.7,13,0.9,33,7,23,190,8
8.2,27,1.4,1,6,12,290,0
7.2,16,2.7,17,16,12,487,0
3.9,17,1.2,29,8,12,278,0
8.9,23,0.4,20,17,19,408,0
12.3,29,1,32,11,14,565,6
6.2,23,4.4,16,11,16,571,0
8.1,10,1.5,17,10,11,1512,0
10.3,44,1.4,32,17,11,225,0
6.6,16,1,29,8,11,185,0
14.7,58,0.8,11,10,16,230,0
10.8,44,1.6,39,10,18,253,0
0.1,19,0.6,10,13,13,368,0
3.4,11,1.5,40,4,15,541,10
6.6,12,2.8,39,9,15,653,0
14.1,20,0.6,25,6,11,2248,0
2.4,20,1.8,38,11,15,394,0
11.5,25,1.2,33,6,11,805,3
5.5,13,1.7,17,10,12,175,0
10.1,22,0.9,23,10,9,501,0
15,46,1,32,13,17,139,0
3.1,23,0.9,36,6,22,204,0
8.8,22,1,39,10,17,182,6
11,38,0.8,27,9,7,760,0
1.2,23,0.7,19,9,21,193,0
5.4,11,1.1,26,7,8,1193,8
4,27,1.5,39,17,11,339,0
8.2,21,3.2,19,6,12,136,0
11.2,46,0.7,26,13,9,500,0
5.6,8,0.3,15,8,14,306,0
14.1,35,2.2,1,9,11,407,0
6.7,29,1.4,39,7,15,130,0
4.5,31,0.4,18,7,13,179,0
8.9,17,1.5,9,14,18,263,0
14,42,2.1,34,18,12,159,8
9.5,45,1.8,27,12,12,377,1
9.4,22,1.4,15,17,19,139,0
11.3,23,1.6,2,16,14,381,0
6.5,21,2.4,31,11,13,219,0
11.4,17,1.3,25,16,17,390,0
12.4,30,0.9,1,13,14,271,0
6.5,6,0.7,17,7,6,191,0
15.1,46,1.1,36,7,21,197,0
9.2,26,0.6,14,4,24,139,0
11.6,28,1.4,12,14,7,940,0
8.2,22,3.3,32,9,16,131,0
12.8,20,0.3,15,5,19,909,0
6.7,13,2.1,19,17,20,513,0
16.6,48,0.5,28,8,24,159,0
9.5,32,0.5,15,16,19,363,0
8.9,18,2,11,15,14,278,0
1.4,10,4.1,1,9,15,317,0
5.3,10,1,26,14,13,244,4
5.1,18,1,11,9,18,175,0
4.5,16,0.4,26,7,19,123,0
7.3,34,2.2,35,9,18,428,0
14.6,52,0.7,12,14,18,247,0
11.3,26,0.5,32,4,20,433,0
8.3,21,3.5,27,15,18,191,0
11.8,43,1.4,11,14,15,402,0
6.5,26,1.2,16,12,16,137,0
9.9,6,0.8,8,18,19,188,0
1.6,17,0.9,37,11,9,591,7
5,17,0.4,12,17,17,315,0
8,19,1.1,17,8,17,400,0
6.4,19,0.5,4,6,16,697,0
1.5,13,0.4,21,9,7,148,0
7.7,14,2,1,6,19,213,0
4.1,17,0.9,12,8,18,770,0
8.1,15,0.7,19,8,10,161,0
10.4,25,0.5,9,6,18,498,0
15.5,31,0.4,7,6,19,266,0
6,21,0.3,11,15,15,213,0
5.3,13,2.6,18,9,14,223,0
4.3,28,0.9,4,9,13,204,0
9.8,23,2.5,34,8,16,845,0
6.6,13,1.1,6,4,11,410,0
19.7,31,1.2,34,17,12,2770,0
6.3,21,0.8,34,11,13,300,10
6.9,5,0.8,27,13,13,1115,0
11.9,51,0.5,23,9,19,214,0
9.9,53,1.1,1,8,16,194,0
5.1,33,0.9,37,17,16,120,2
13.1,28,0.4,21,14,15,186,0
17.9,75,1.7,15,17,16,265,0
13.9,36,0.4,12,11,8,207,0
7.8,22,0.6,24,6,16,244,0
10.4,22,0.4,4,14,12,273,0
6.5,12,0.8,29,9,12,701,0
4.2,36,1.5,22,13,8,264,0
1.3,15,0.7,16,9,19,154,0
10.7,15,1.3,26,12,16,791,8
10.6,13,1.1,13,15,11,478,0
10.3,30,0.8,5,11,15,1326,0
2.2,10,1.8,5,5,10,300,0
3.3,11,0.4,20,8,12,198,0
10.5,32,2.8,28,10,19,488,0
11.4,56,2.6,16,9,14,474,0
4.4,17,1.6,25,6,14,196,9
2.9,11,0.6,4,13,14,223,0
5.4,31,1,31,7,7,769,0
20.1,79,3.3,28,5,18,345,10
6.9,17,0.6,4,18,10,339,0
9.2,34,1.1,28,13,19,502,5
8.9,23,0.5,36,11,12,291,0
10.8,21,0.4,31,13,10,428,9
5.2,10,1.8,38,9,13,438,5
3.9,17,1,21,10,12,426,0
3.3,20,1.1,19,12,23,248,0
8.8,8,0.6,29,10,18,229,9
9.6,15,1.7,4,7,13,225,0
0.4,24,0.4,11,15,17,461,0
7.8,15,0.4,8,9,17,243,0
8.2,31,1.2,20,9,18,424,0
2.9,19,1.2,28,5,15,255,0
13.1,60,1,19,5,14,608,0
13.8,25,2,11,4,19,157,0
6.4,20,0.6,8,9,18,243,0
9.1,48,2.8,29,12,18,269,9
5.4,12,0.6,20,14,12,172,0
10.3,34,0.4,14,8,13,1026,0
8,21,0.4,31,7,11,442,0
4.7,18,1.2,7,8,18,233,0
1.3,20,3,18,6,12,359,0
6.5,9,0.8,34,6,15,163,0
8.7,23,1.2,40,4,17,545,0
9.5,49,2.2,20,17,13,155,0
11.9,44,0.3,3,9,13,276,0
10.9,10,1.4,27,17,21,405,1
12.2,67,0.5,4,7,16,165,0
7.3,19,2.3,22,14,17,390,0
6.7,27,1.4,17,14,19,289,0
10.4,14,1.7,15,14,12,651,0
12,18,0.2,7,5,24,217,0
10.1,20,1,18,13,5,477,0
7.8,28,1.1,10,14,14,165,0
14,41,1.2,15,16,15,467,0
3.5,19,5.4,34,6,17,451,0
5.8,10,0.7,27,10,18,681,0
9.9,36,2.1,15,8,19,258,0
10.1,34,0.3,27,15,13,171,4
22.2,33,1.7,6,15,15,1334,0
8,12,0.6,25,18,9,155,9
14.7,55,1,1,7,14,504,0
4.9,25,0.5,37,16,16,148,0
5.4,14,0.2,30,10,13,255,0
1.3,13,1.6,27,4,19,388,0
7.2,23,2.8,12,15,17,207,0
4.2,12,1.6,14,16,14,404,0
11.5,14,0.3,30,12,14,1258,5
1,17,1.2,34,6,13,157,2
0.7,15,1.9,12,6,13,213,0
8.5,36,2.4,21,14,16,218,0
6,19,0.6,16,16,18,233,0
7.6,17,1.2,40,7,17,185,0
12.1,33,0.4,14,9,18,662,0
10.2,31,0.5,14,16,18,186,0
6,28,0.8,0,9,12,175,0
0.7,10,1.7,40,15,16,443,0
12,35,0.3,4,6,13,569,0
4.1,10,1,16,7,13,1054,0
6.6,20,1.8,23,8,16,289,0
6.4,22,2.7,39,9,13,763,2
5.3,24,2,6,8,12,150,0
17.7,56,0.8,2,10,16,1249,0
18.1,57,0.4,16,21,16,225,0
5.4,21,2.8,24,9,22,171,0
8.4,38,0.5,7,13,17,134,0
20.7,66,1.8,10,9,18,263,0
9.5,13,1.2,13,13,17,348,0
7.8,21,1.5,8,15,20,390,0
19.3,64,0.6,4,11,14,190,0
12.2,29,3.6,18,13,18,647,0
1.3,8,0.7,14,6,14,269,0
7.7,26,1.2,3,8,11,161,0
4.5,21,0.7,17,5,14,260,0
1.1,14,2,30,12,17,323,7
5.1,11,1.8,6,6,18,314,0
3.9,19,1.2,36,16,13,419,9
13,24,1.1,27,13,14,665,0
4.5,33,1.3,24,11,15,542,0
15,18,1.3,5,12,19,1745,0
9.6,38,3.1,20,11,8,940,0
5.2,19,0.9,39,14,12,380,0
10,40,0.7,27,6,12,262,0
24.2,40,0.2,3,8,18,2856,0
8.8,22,1.4,32,4,19,382,7
15.1,54,1,21,9,19,185,0
5.4,22,0.9,7,18,1,300,0
5.9,20,1,5,9,7,185,0
8.5,11,0.7,18,10,22,214,0
19.4,59,0.9,2,7,9,786,0
9.2,23,0.9,18,15,14,1159,0
13.2,30,0.3,4,7,11,1908,0
8.6,15,0.8,22,11,21,1514,0
7.4,31,1.4,26,8,12,177,0
7.9,21,6,32,11,9,147,0
2.8,10,1.1,26,9,13,518,0
2.9,19,6.1,10,14,14,116,0
7.1,17,0.5,28,6,18,138,5
6.5,18,1.7,5,18,20,198,0
11.1,37,0.8,38,3,17,338,1
1.9,20,0.6,3,3,15,457,0
0.3,20,0.8,16,8,11,458,0
9.7,29,0.6,23,13,11,543,0
10.1,19,0.3,36,10,17,168,0
12.3,22,1.2,2,15,13,254,0
3.2,11,0.7,10,15,18,333,0
5.1,11,0.4,10,12,19,406,0
6.2,17,0.8,28,15,13,143,0
4.2,23,2.1,22,5,14,767,0
7.7,6,0.9,37,14,19,128,0
2.1,10,1.3,29,6,18,268,0
8.1,19,2.4,24,13,11,416,0
9,28,0.4,39,8,15,152,0
9,26,1,36,9,13,326,0
3.5,11,0.7,33,9,13,968,0
8.2,20,0.8,8,14,12,183,0
6.7,18,0.9,37,13,12,138,0
4.3,28,0.8,1,10,15,454,0
8.4,8,1.1,4,10,16,824,0
5.8,23,0.4,33,9,19,430,9
9.2,16,1.2,22,18,15,593,0
8.5,19,3.4,18,8,13,1644,0
7.5,17,2.4,31,17,11,1136,0
14,51,2.2,7,9,11,189,0
11.5,14,0.4,13,13,13,1476,0
11.9,28,0.6,23,6,14,169,0
10.1,20,0.3,6,5,9,169,0
10.5,42,0.4,35,9,2,217,3
14.7,58,0.4,36,16,11,273,7
8.9,45,0.5,12,6,7,220,0
4.2,15,4.6,5,10,16,176,0
8.6,16,1.1,18,14,15,333,0
6.6,20,1.9,2,7,9,157,0
5.3,9,0.8,21,9,15,197,0
3.4,13,0.4,14,8,11,453,0
10.2,25,5,35,7,24,580,8
9.6,45,2.1,29,9,11,186,6
4.3,12,6.4,13,6,23,227,0
9.1,15,2.1,15,14,18,222,0
6.1,10,2.8,34,7,14,149,0
12.9,54,0.8,20,7,4,227,0
8.4,31,1.5,30,14,16,131,0
2.6,7,0.6,34,8,18,204,0
21,28,1.3,36,16,18,2232,4
6.2,24,1.4,17,7,22,301,0
10,21,0.9,18,14,16,146,0
9.9,15,1.5,23,8,11,476,0
17.3,60,2,15,7,19,519,0
12.8,18,0.6,24,13,18,1149,0
4.8,24,0.4,3,18,16,218,0
5.1,10,3.4,39,12,13,225,10
6.9,16,0.8,31,8,19,296,3
8.1,28,2.1,2,12,16,318,0
13.5,37,1.1,17,10,17,323,0
13.3,30,0.6,32,15,19,609,0
7.4,24,1,16,12,12,120,0
9,24,1.6,34,15,11,368,7
10.1,31,2.1,5,13,14,270,0
11,9,1.3,25,16,16,745,6
12.4,19,1.8,18,11,16,131,0
8.1,16,1.1,25,15,9,248,7
11.5,28,1.5,33,14,16,386,10
17,23,0.2,26,15,21,529,0
2.8,14,1.3,37,13,17,228,0
3,26,1.4,33,15,15,143,7
6.2,23,0.9,16,8,17,447,0
5.6,12,1.1,17,18,15,402,0
3.1,15,1.4,26,6,13,934,0
8.9,14,0.7,15,7,11,1826,0
3,13,1.1,40,17,16,266,0
3.9,10,0.9,35,9,14,344,0
9.5,10,0.3,21,14,14,302,0
9.1,16,0.9,10,7,22,257,0
13.6,52,0.5,37,13,14,554,10
4.9,15,2.5,10,8,18,179,0
3.9,8,2.9,36,5,7,141,0
9.4,15,4.3,32,8,16,313,8
8.6,14,1.2,4,8,24,1227,0
5.5,17,1.6,2,9,19,208,0
8.4,27,0.5,33,10,12,550,0
7.8,18,0.3,15,8,19,272,0
4.1,31,1.9,2,8,11,150,0
9.6,26,1.7,37,6,18,325,0
5.4,28,0.3,17,4,16,404,0
1.4,16,1.7,2,16,17,170,0
8.7,33,2.3,2,16,18,418,0
12.1,17,1.2,1,11,22,550,0
7.6,28,1.3,14,5,2,454,0
10.8,20,0.8,4,8,23,586,0
12.6,29,2.7,31,16,12,408,3
3.5,16,0.4,29,7,11,368,5
5,24,4.4,27,9,13,406,2
8.5,15,0.8,20,5,16,837,0
8.1,30,0.7,11,14,22,389,0
6.7,8,0.7,25,4,17,147,0
9.9,34,0.6,2,16,14,387,0
14,38,2.3,6,16,15,420,0
5.1,18,4.5,39,5,22,183,0
2.7,17,0.7,37,8,17,246,9
9.5,38,1,2,3,12,194,0
7.9,41,1.7,39,7,12,156,0
10.1,34,1.6,2,13,11,281,0
14.9,29,0.6,37,9,16,469,0
7.7,17,1.3,18,10,19,518,0
10.7,25,2.2,37,7,16,184,0
4.2,29,0.5,1,10,14,210,0
9.4,25,1.3,38,11,16,177,0
2.6,8,0.4,32,17,18,367,0
18.5,82,0.3,36,16,13,139,0
7.6,42,0.4,9,13,15,860,0
10.4,27,1.8,34,13,13,394,6
6.2,20,1.8,6,8,23,330,0
2.1,9,0.4,35,9,11,763,0
5.9,22,0.3,17,6,6,575,0
11.8,28,0.5,22,8,11,614,0
6.1,12,0.2,24,7,19,438,0
14.2,44,1.6,33,8,7,152,0
7.8,24,0.9,14,8,12,727,0
6.7,17,1.5,30,15,17,198,0
6.9,39,4.6,33,16,16,316,6
6.4,31,1.1,29,12,12,265,6
7.7,34,5.3,14,7,17,304,0
10.2,31,0.6,15,8,19,370,0
15.5,54,0.8,5,9,16,313,0
15.5,46,1.1,3,19,18,574,0
11,31,1.9,18,17,20,531,0
12.2,39,0.1,32,6,7,149,0
6,20,4.6,20,16,18,176,0
6.9,15,2.1,7,5,11,279,0
11.4,19,0.9,9,7,21,2126,0
6.6,28,2.6,1,6,9,480,0
6.4,25,0.6,14,7,20,172,0
7.6,15,1.2,20,16,17,231,0
7.8,17,1.5,2,6,15,397,0
7.1,17,1.1,32,11,19,259,7
16.3,44,1.5,21,15,17,742,0
4.9,16,1,28,5,19,677,0
11.5,14,0.7,26,16,12,1006,0
4.5,37,2.4,14,16,18,144,0
6.9,14,4.8,3,8,8,133,0
6.6,10,0.8,12,8,16,163,0
14.3,31,1,33,15,7,682,0
7.5,29,1.4,7,11,9,190,0
7.7,28,1.3,2,7,19,174,0
8.5,11,0.8,33,16,17,174,4
5,16,0.5,23,6,11,840,0
5.4,8,0.9,10,8,17,982,0
12.7,16,0.8,19,15,17,1567,0
5.7,31,1.1,26,7,13,248,0
9.2,22,0.4,16,10,8,296,0
14.3,41,0.6,33,12,18,378,0
11.5,31,1.6,32,9,18,527,9
3.8,14,1.3,39,10,16,225,0
15.2,45,0.5,8,15,17,1054,0
15.8,67,0.5,26,17,22,567,0
11.1,18,1.2,4,15,16,373,0
11.2,26,1.9,36,12,19,151,0
6.2,26,0.4,37,5,19,179,0
10.3,15,1.5,7,16,15,435,0
12.1,26,1.7,14,13,11,136,0
11,28,2,18,8,17,424,0
6.4,9,0.3,16,13,16,143,0
4.4,23,1.6,23,11,13,462,0
10.7,9,0.4,18,11,15,292,0
5.2,8,0.4,17,8,15,240,0
12.4,39,1,19,15,13,318,0
3.8,17,0.3,6,8,16,159,0
4.6,9,1,6,9,13,199,0
4.2,46,3,15,8,11,312,0
7,23,1.7,25,4,21,176,0
11.8,25,3.2,6,8,11,912,0
12,39,0.6,38,7,15,311,0
8.5,22,0.8,13,10,12,1196,0
13.5,33,1.7,18,6,11,189,0
0.8,18,0.7,28,5,15,213,0
11.2,12,2,17,15,18,300,0
7.3,9,0.5,12,9,11,493,0
0.2,12,2.2,9,8,11,138,0
12.8,57,0.4,35,14,17,179,0
10.2,18,0.4,34,13,13,733,0
7.1,10,1.4,17,10,19,612,0
6.7,57,0.7,5,9,6,347,0
0.5,13,0.9,35,9,12,254,0
8.7,20,0.7,14,11,19,506,0
6,29,0.4,36,6,6,219,0
4.6,19,0.6,27,8,19,218,0
11.7,36,0.6,13,15,17,142,0
4.4,14,0.7,8,7,12,529,0
18.8,39,1.9,32,12,12,3077,0
11.9,47,0.9,34,7,14,445,0
9.7,15,1.5,28,16,13,676,10
